categoria_clusterizacion_numerica,probabilidad_aceptacion_optima,tasa_optima,Monto_Simulado_mean,Plazo_Simulado_mean,Plazo_Simulado_min,Plazo_Simulado_max,Plazo_Simulado_mode
93,0.5976083341253728,1.0617370376719037,14537003.12345521,27.157200486649163,8.0,47.0,28.0
17,0.49360508005433146,1.3648824775884236,4016050.2360619055,27.969233637889243,11.0,48.0,30.0
11,0.49848177657264314,1.306419218172746,4346297.173965127,27.135897777186212,9.0,49.0,30.0
10,0.45860552886003897,1.4054440766952032,712786.3340270552,27.833159902878947,10.0,49.0,31.0
9,0.5707646052830648,1.1518721303811494,39107949.12779286,27.746920025057424,11.0,46.0,33.0
3,0.7123098161342117,1.0012357001990506,86994371.18875502,26.76706827309237,13.0,42.0,30.0
7,0.6041199086300703,1.1323386843696892,486597.9270833333,27.979166666666668,11.0,46.0,30.0
57,0.681299490473268,1.003011393623182,79057943.78871892,28.060229445506693,11.0,44.0,31.0
56,0.6313693544263934,1.1310151937685227,5593435.712752526,26.487373737373737,10.0,44.0,28.0
60,0.7156882747713971,1.0026661565650625,65759253.71876886,27.917320458660228,10.0,47.0,31.0
62,0.587317496331764,1.1444208375204579,5048883.096481271,26.859250851305333,11.0,43.0,27.0
5,0.44274662843331725,1.4972913481795604,5153737.594142259,27.506276150627617,11.0,40.0,28.0
55,0.6026759281851023,1.1514724571150012,680443.7724252492,27.737541528239202,13.0,42.0,30.0
16,0.43405972451948144,1.4536021929395855,653282.4619124797,27.14708265802269,10.0,45.0,29.0
54,0.6616809077832767,1.0007498829827872,69267594.86222732,28.72158438576349,13.0,46.0,32.0
1,0.450995679459264,1.4069040781947415,850601.7788461539,26.317307692307693,13.0,41.0,29.0
0,0.649004030959079,1.0233261966978167,58320122.043177895,28.031088082901555,11.0,43.0,26.0
59,0.5770276286344885,1.140967910027558,5163722.870794078,28.82907133243607,13.0,43.0,31.0
61,0.6461884891393075,1.1469147746830006,839923.987012987,26.45194805194805,12.0,41.0,19.0
58,0.49638994199348124,1.1955288436144573,755756.7826086957,27.010033444816052,15.0,40.0,31.0
2,0.6223043568908343,1.272956468417159,4454833.757246377,28.53985507246377,14.0,41.0,29.0
4,0.7057387955352659,1.2066376009539859,1032209.7948717949,29.205128205128204,19.0,42.0,25.0
