"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Promedio_Ventas","Monto_Promedio_Ventas","Plazo_Promedio_Ventas","Tasa_Prom","Tasa_Prom_Ventas","Revenue_Potencial","Revenue_Potencial_Ventas","Tasa_Revenue"
"Propension alta","2023-07","Ejecutivo=0, Correos=0",2914,972,33.3562113932739,1.74799324927386,5743516.74708305,27.3939601921757,1.55773418509492,5060530.74691358,27.1553497942387,0.0174799324927386,0.0155773418509492,1490629815.67274,1151134503.99647,0.772247067577237
"Propension alta","2023-07","Ejecutivo=0, Correos=1",3305,1137,34.4024205748865,1.74907333081592,6084045.3301059,27.3915279878971,1.56154071521141,5056924.21372032,27.2814423922603,0.0174907333081592,0.0156154071521141,1848099918.92677,1355527941.34033,0.733471132950168
"Propension alta","2023-07","Ejecutivo=0, Correos=2",2654,879,33.1198191409194,1.76654363976612,6348001.22117558,27.3078372268274,1.58196806640371,5595139.78953356,27.0978384527873,0.0176654363976612,0.0158196806640371,1501884428.90769,1167450741.13738,0.777323952939879
"Propension alta","2023-07","Ejecutivo=0, Correos=3",6819,2275,33.362663147089,1.75494006686365,6001253.38158088,27.4893679425136,1.57175461518175,4983015.05538462,27.4703296703297,0.0175494006686365,0.0157175461518175,3674164778.47529,2710396916.22721,0.73769062620865
"Propension alta","2023-07","Ejecutivo=0, Correos=4",11091,3802,34.2800468848616,1.74582832315984,5711095.75818231,27.5333153006943,1.5527009214724,4980930.88506049,27.4310889005786,0.0174582832315984,0.015527009214724,5820608101.25386,4462845788.70737,0.766731879396931
"Propension alta","2023-07","Ejecutivo=1, Correos=0",3148,1026,32.5921219822109,1.7522646828465,7922821.06130877,27.3418043202033,1.53925603116442,7428372.43957115,27.2592592592593,0.017522646828465,0.0153925603116442,2171839656.88493,1768108135.012,0.814106202272774
"Propension alta","2023-07","Ejecutivo=1, Correos=1",3567,1141,31.9876647042333,1.7421031512345,8402513.1129801,27.462012895991,1.50803656326241,8973315.42857143,27.3251533742331,0.017421031512345,0.0150803656326241,2557236013.36326,2329923548.70162,0.911110095636937
"Propension alta","2023-07","Ejecutivo=1, Correos=2",21063,6845,32.4977448606561,1.74867030849319,7942137.00299103,27.4972700944785,1.52451079175549,7387623.81607012,27.4414901387874,0.0174867030849319,0.0152451079175549,14578497773.813,11691929644.1645,0.801998246017255
"Propension alta","2023-08","Ejecutivo=0, Correos=0",2872,970,33.7743732590529,1.74770665446781,5822979.5658078,27.5776462395543,1.57079183492595,5775173.14845361,27.5072164948454,0.0174770665446781,0.0157079183492595,1518373729.18786,1340336984.85617,0.88274511017329
"Propension alta","2023-08","Ejecutivo=0, Correos=1",3290,1114,33.8601823708207,1.74879508174179,5743322.89452888,27.3063829787234,1.55668296906228,5658211.17414722,27.3824057450628,0.0174879508174179,0.0155668296906228,1703509066.27177,1486759648.95577,0.872762979893983
"Propension alta","2023-08","Ejecutivo=0, Correos=2",2664,903,33.8963963963964,1.77418785247277,5558268.44406907,27.4061561561562,1.58956978645569,5502488.42414175,27.0454042081949,0.0177418785247277,0.0158956978645569,1362276176.1993,1183128500.73812,0.868493864466609
"Propension alta","2023-08","Ejecutivo=0, Correos=3",6897,2287,33.1593446425982,1.74555600364023,5737057.67275627,27.4249673771205,1.54623623047973,5212141.61696546,27.3620463489287,0.0174555600364023,0.0154623623047973,3502214289.68153,2789455381.71171,0.796483353383085
"Propension alta","2023-08","Ejecutivo=0, Correos=4",11131,3709,33.3213547749528,1.76339333905836,5794032.82355583,27.5009433114725,1.56460762229383,5092056.62766244,27.4699379886762,0.0176339333905836,0.0156460762229383,5815620648.08461,4493643625.43259,0.772685134975677
"Propension alta","2023-08","Ejecutivo=1, Correos=0",3021,921,30.4865938430983,1.75999190713756,7479261.22078782,27.5286329030122,1.55449763859661,6817857.88165038,27.457111834962,0.0175999190713756,0.0155449763859661,1862228931.46291,1483046621.50643,0.796382548058358
"Propension alta","2023-08","Ejecutivo=1, Correos=1",3523,1154,32.7561737155833,1.74848215337082,8865986.76043145,27.3306840760715,1.52112429327729,8235807.90554593,27.265164644714,0.0174848215337082,0.0152112429327729,2726129784.06397,2177783835.89477,0.798855523543065
"Propension alta","2023-08","Ejecutivo=1, Correos=2",21070,6809,32.3160892263882,1.75146900109518,7955361.76165164,27.5675842429995,1.54587455121597,7187572.46086063,27.6788074607138,0.0175146900109518,0.0154587455121597,14589474030.8146,11586301885.5654,0.794154872279419
"Propension alta","2023-09","Ejecutivo=0, Correos=0",2889,947,32.7795084804431,1.76727317138661,5271221.62928349,27.6974731741087,1.58663855953345,5094247.9313622,27.583949313622,0.0176727317138661,0.0158663855953345,1364125325.94962,1170017971.7292,0.857705629733623
"Propension alta","2023-09","Ejecutivo=0, Correos=1",3263,1118,34.2629482071713,1.74046636079953,5401714.4017775,27.4820717131474,1.5519204750658,4264788.00715564,27.5483005366726,0.0174046636079953,0.015519204750658,1610429930.84163,1127988238.69046,0.700426772433969
"Propension alta","2023-09","Ejecutivo=0, Correos=2",2626,894,34.044173648134,1.74788031413683,6078586.44630617,27.7220106626047,1.5521861556452,5216937.76286353,27.6308724832215,0.0174788031413683,0.015521861556452,1468935246.03057,1106973596.8517,0.753589104654556
"Propension alta","2023-09","Ejecutivo=0, Correos=3",6854,2343,34.184417858185,1.75245692397294,5670998.20323898,27.4819083746717,1.55492209372906,5189093.16090482,27.3704652155356,0.0175245692397294,0.0155492209372906,3569330833.13336,2863009396.653,0.802113765996772
"Propension alta","2023-09","Ejecutivo=0, Correos=4",11115,3676,33.072424651372,1.75132751239962,5846574.7674314,27.4475033738192,1.5531936380124,5758265.37105549,27.3705114254625,0.0175132751239962,0.015531936380124,5761928095.36099,4978674779.22091,0.86406402454576
"Propension alta","2023-09","Ejecutivo=1, Correos=0",3161,1020,32.2682695349573,1.74015561844112,8299066.21955078,27.4656754191711,1.53126040418217,7627692.65196078,27.6598039215686,0.0174015561844112,0.0153126040418217,2255516348.86734,1822141668.33167,0.807860102298396
"Propension alta","2023-09","Ejecutivo=1, Correos=1",3530,1125,31.8696883852691,1.75759123725999,8185893.60708215,27.3209631728045,1.52727596715133,7615935.23822222,27.3751111111111,0.0175759123725999,0.0152727596715133,2466524415.05516,1979870181.36114,0.802696364680773
"Propension alta","2023-09","Ejecutivo=1, Correos=2",21142,6836,32.3337432598619,1.75071202236051,8073465.73540819,27.4681676284174,1.53416107263622,7359632.95216501,27.4978057343476,0.0175071202236051,0.0153416107263622,14802286362.0903,11735252830.2785,0.792800013674458
"Propension alta","2023-10","Ejecutivo=0, Correos=0",2835,952,33.5802469135802,1.75556242969542,6532293.0670194,27.6698412698413,1.56409239506737,5734934.19642857,27.7951680672269,0.0175556242969542,0.0156409239506737,1685597507.59183,1314418991.62685,0.779794100137657
"Propension alta","2023-10","Ejecutivo=0, Correos=1",3225,1061,32.8992248062016,1.74372575802024,5988254.09116279,27.5733333333333,1.54525303624506,5452417.66352498,27.6475023562677,0.0174372575802024,0.0154525303624506,1703520179.53878,1367387429.69726,0.80268343523085
"Propension alta","2023-10","Ejecutivo=0, Correos=2",2706,950,35.1071692535107,1.74767757679867,5644641.01626016,27.4974131559497,1.56296365938301,4768916.38842105,27.4705263157895,0.0174767757679867,0.0156296365938301,1437144418.39903,1076753121.45843,0.749230980319935
"Propension alta","2023-10","Ejecutivo=0, Correos=3",6664,2265,33.9885954381753,1.74378936958944,5919229.91806723,27.3494897959184,1.54610529067151,5112819.84856512,27.3611479028698,0.0174378936958944,0.0154610529067151,3564584335.99603,2709642498.96148,0.760156653217279
"Propension alta","2023-10","Ejecutivo=0, Correos=4",11284,3816,33.8177951081177,1.74923622697312,5734856.62974123,27.5315490960652,1.55047807055098,4992858.56236897,27.4795597484277,0.0174923622697312,0.0155047807055098,5878206434.14279,4491337839.88169,0.764066027656726
"Propension alta","2023-10","Ejecutivo=1, Correos=0",3093,1007,32.5573876495312,1.74430520819504,7726592.58195926,27.6333656644035,1.5259233870463,7206563.60178749,27.6583912611718,0.0174430520819504,0.015259233870463,2091626094.94342,1693218831.53312,0.809522713273916
"Propension alta","2023-10","Ejecutivo=1, Correos=1",3558,1172,32.9398538504778,1.74620187994207,8040264.84738617,27.4707700955593,1.53408412277541,8376968.00085324,27.2107508532423,0.0174620187994207,0.0153408412277541,2520630106.10618,2265347014.92708,0.898722509676975
"Propension alta","2023-10","Ejecutivo=1, Correos=2",21145,6673,31.5582880113502,1.75372946455449,7949209.57280681,27.4532040671554,1.53483483441325,7308987.90004496,27.528248164244,0.0175372946455449,0.0153483483441325,14245124483.0259,11394886082.0727,0.799914812654008
"Propension alta","2023-11","Ejecutivo=0, Correos=0",2940,970,32.9931972789116,1.75566327035506,5702159.31394558,27.371768707483,1.56443833139031,5444508.31134021,27.3051546391753,0.0175566327035506,0.0156443833139031,1482536087.99523,1248636967.41865,0.842230403380687
"Propension alta","2023-11","Ejecutivo=0, Correos=1",3367,1145,34.006534006534,1.75410385280813,5875760.43569944,27.5524205524206,1.55613667265291,5120404.63755459,27.7825327510917,0.0175410385280813,0.0155613667265291,1813912744.11069,1403198161.18381,0.773575336376918
"Propension alta","2023-11","Ejecutivo=0, Correos=2",2558,892,34.8709929632525,1.74131750391758,5639080.99374511,27.3205629397967,1.54702058671585,5180081.65022422,27.6995515695067,0.0174131750391758,0.0154702058671585,1333869645.45148,1095615612.96462,0.821381322155951
"Propension alta","2023-11","Ejecutivo=0, Correos=3",6730,2294,34.0861812778603,1.76493691759205,5902166.1282318,27.530014858841,1.57209929093608,5793817.58108108,27.62641673932,0.0176493691759204,0.0157209929093608,3671524151.55392,3197103435.2495,0.870783713596538
"Propension alta","2023-11","Ejecutivo=0, Correos=4",11053,3715,33.6107844024247,1.75203227115285,5802119.2441871,27.5775807473084,1.55205798276313,5144620.86702557,27.4780619111709,0.0175203227115285,0.0155205798276313,5809713880.70988,4509993212.59498,0.776284909239613
"Propension alta","2023-11","Ejecutivo=1, Correos=0",3104,1023,32.9574742268041,1.73710724008677,7741505.41623711,27.7806056701031,1.53371905026797,7801159.3998045,28.0762463343109,0.0173710724008677,0.0153371905026797,2131290564.2086,1901317762.86287,0.892096926994499
"Propension alta","2023-11","Ejecutivo=1, Correos=1",3525,1166,33.0780141843972,1.73615947242307,7385180.25333333,27.611914893617,1.52505561374351,7333759.51886792,27.6595197255575,0.0173615947242307,0.0152505561374351,2301449913.33691,1994052051.43612,0.866432955972919
"Propension alta","2023-11","Ejecutivo=1, Correos=2",21106,6731,31.8914052875959,1.74708485486909,8107104.99772577,27.601392968824,1.52901943735867,7245113.90120339,27.5725746545833,0.0174708485486909,0.0152901943735867,14676747057.1383,11366457410.5855,0.774453451186055
"Propension alta","2023-12","Ejecutivo=0, Correos=0",2933,993,33.8561200136379,1.74885639740157,6185564.3777702,27.4139106716672,1.55499275212639,5812649.44612286,27.4702920443102,0.0174885639740157,0.0155499275212639,1642145275.55006,1364370575.43941,0.830846451744285
"Propension alta","2023-12","Ejecutivo=0, Correos=1",3325,1084,32.6015037593985,1.75388541077271,6009443.98345865,27.3377443609023,1.56184464155977,5701628.18357934,27.5618081180812,0.0175388541077271,0.0156184464155977,1741913666.62175,1472840018.47575,0.845529859888041
"Propension alta","2023-12","Ejecutivo=0, Correos=2",2718,873,32.1192052980132,1.76579099531372,5749847.4518028,27.6832229580574,1.56968535223448,4661160.6185567,27.8636884306987,0.0176579099531372,0.0156968535223448,1369749367.32274,985892803.494586,0.719761459296439
"Propension alta","2023-12","Ejecutivo=0, Correos=3",6866,2341,34.0955432566269,1.75283299921826,5725036.7886688,27.6318089134867,1.55159739443618,5295796.12345152,27.5771038017941,0.0175283299921826,0.0155159739443618,3621489888.77714,2935415905.44466,0.810554770438929
"Propension alta","2023-12","Ejecutivo=0, Correos=4",11041,3770,34.1454578389639,1.75521673110859,5666754.28040938,27.4486912417354,1.56991747887517,5493847.60557029,27.2989389920424,0.0175521673110859,0.0156991747887517,5741384827.75785,4914004578.08952,0.855891866772595
"Propension alta","2023-12","Ejecutivo=1, Correos=0",3285,1077,32.7853881278539,1.74633538370112,8250652.50015221,27.1963470319635,1.526802434506,7820312.0724234,26.857938718663,0.0174633538370112,0.01526802434506,2352491555.40109,1907837259.29808,0.810985805631424
"Propension alta","2023-12","Ejecutivo=1, Correos=1",3614,1206,33.3702268954068,1.73660547232882,7511756.92086331,27.6004427227449,1.53314881039624,6959356.70563847,27.4038142620232,0.0173660547232882,0.0153314881039624,2420821189.14619,1949464232.76106,0.805290469821368
"Propension alta","2023-12","Ejecutivo=1, Correos=2",20953,6804,32.4726769436358,1.74577655827215,7833841.31293848,27.6176203884885,1.53338425805214,7283843.90579071,27.6333039388595,0.0174577655827215,0.0153338425805214,14333109713.5074,11612461501.0524,0.810184372628428
"Propension alta","2024-01","Ejecutivo=0, Correos=0",2903,968,33.3448157078884,1.74207343171597,5968292.24801929,27.1891147089218,1.53562583942138,5750007.43285124,27.1673553719008,0.0174207343171597,0.0153562583942138,1525090183.29374,1283553466.64608,0.841624633550515
"Propension alta","2024-01","Ejecutivo=0, Correos=1",3186,1059,33.2391713747646,1.75311591260035,5841889.83929692,27.5696798493409,1.56412282821541,5195127.76298395,27.5797922568461,0.0175311591260035,0.0156412282821541,1668079429.20537,1313967803.55707,0.787712971307974
"Propension alta","2024-01","Ejecutivo=0, Correos=2",2656,902,33.960843373494,1.75674401748871,6669692.25790663,27.0700301204819,1.55488327210071,6077441.84257206,27.0631929046563,0.0175674401748871,0.0155488327210071,1595141363.2928,1275929474.24384,0.799884890208086
"Propension alta","2024-01","Ejecutivo=0, Correos=3",6818,2264,33.2062188325022,1.75955401719652,5716256.93209152,27.4394250513347,1.56427048825828,5330416.75441696,27.4306537102473,0.0175955401719652,0.0156427048825828,3485970103.68927,2866461008.09611,0.82228502334615
"Propension alta","2024-01","Ejecutivo=0, Correos=4",11029,3814,34.5815577114879,1.75086500067909,5949427.68492157,27.5638770514099,1.55883104208249,5692140.83481909,27.4635553224961,0.0175086500067909,0.0155883104208249,6108454308.72957,5143910322.65591,0.842096881252719
"Propension alta","2024-01","Ejecutivo=1, Correos=0",3201,1030,32.1774445485786,1.75649273424371,7772222.92439863,27.7741330834114,1.54412611410713,7361222.81941748,27.8572815533981,0.0175649273424371,0.0154412611410713,2179604141.41455,1804771175.94123,0.828027044750404
"Propension alta","2024-01","Ejecutivo=1, Correos=1",3601,1170,32.4909747292419,1.75722335776354,7489825.78783671,27.5545681755068,1.54290139852872,6721676.56153846,27.5547008547009,0.0175722335776354,0.0154290139852872,2367365513.72006,1849451818.17424,0.781227827919157
"Propension alta","2024-01","Ejecutivo=1, Correos=2",20922,6630,31.6891310582162,1.74602525084195,8101989.79911098,27.5185450721728,1.52849483391737,7500903.94660634,27.4533936651584,0.0174602525084195,0.0152849483391737,14393040561.0816,11535389411.08,0.801456048298188
"Propension alta","2024-02","Ejecutivo=0, Correos=0",2845,976,34.3057996485062,1.74839080630777,5864762.71388401,27.5166959578207,1.53629295333663,5453045.20081967,27.5215163934426,0.0174839080630777,0.0153629295333663,1535841119.451,1244368893.07975,0.810219805499516
"Propension alta","2024-02","Ejecutivo=0, Correos=1",3350,1129,33.7014925373134,1.73693211431176,5290002.91074627,27.5128358208955,1.54027443225032,4321283.24977857,27.5022143489814,0.0173693211431176,0.0154027443225032,1591029985.17939,1143002125.90288,0.718403887136042
"Propension alta","2024-02","Ejecutivo=0, Correos=2",2709,992,36.6186784791436,1.74322456568519,5915379.16685124,27.6799557032115,1.55379352148704,6234836.50806452,28.03125,0.0174322456568519,0.0155379352148704,1579183141.83556,1491571749.49404,0.944521069139775
"Propension alta","2024-02","Ejecutivo=0, Correos=3",6804,2338,34.3621399176955,1.75122940384958,5728771.96781305,27.5232216343327,1.55694290963351,5481746.49914457,27.7480752780154,0.0175122940384958,0.0155694290963351,3600913471.75076,3065179720.63957,0.851222820177704
"Propension alta","2024-02","Ejecutivo=0, Correos=4",10956,3678,33.5706462212486,1.74973889809296,5496930.25803213,27.4983570646221,1.54688929075811,5085880.09244154,27.4358346927678,0.0174973889809296,0.0154688929075811,5425447096.32511,4391513761.17326,0.809428915848763
"Propension alta","2024-02","Ejecutivo=1, Correos=0",3126,1012,32.3736404350608,1.75803179431865,8006808.16570697,27.6244401791427,1.54745851406498,7276968.89525692,27.5395256916996,0.0175803179431865,0.0154745851406498,2195855635.26719,1736300833.87077,0.790717206534162
"Propension alta","2024-02","Ejecutivo=1, Correos=1",3496,1158,33.1235697940503,1.74093742466261,7811443.56035469,27.6118421052632,1.51507389630256,7563751.94300518,27.3566493955095,0.0174093742466261,0.0151507389630256,2424695519.95755,2005433854.04016,0.827086880613887
"Propension alta","2024-02","Ejecutivo=1, Correos=2",21122,6749,31.9524666224789,1.74978079436542,8254255.09293627,27.5480068175362,1.52489443500568,7562013.9885909,27.491628389391,0.0174978079436542,0.0152489443500568,14977704729.3186,11825427792.5534,0.789535379837298
"Propension alta","2024-03","Ejecutivo=0, Correos=0",2894,964,33.3102971665515,1.74221404489689,5743860.61575674,27.3358673116793,1.55874349434808,5588695.04253112,27.350622406639,0.0174221404489689,0.0155874349434808,1469983088.39955,1271026687.80171,0.864653952710125
"Propension alta","2024-03","Ejecutivo=0, Correos=1",3252,1154,35.4858548585486,1.75456597044948,5077282.09255843,27.509532595326,1.57013273243698,5055758.97313691,27.3916811091854,0.0175456597044948,0.0157013273243698,1577625473.94114,1389284063.48827,0.880617159418476
"Propension alta","2024-03","Ejecutivo=0, Correos=2",2752,920,33.4302325581395,1.74534960462641,5608765.82231105,27.4520348837209,1.5391602354667,5361755.7173913,27.8978260869565,0.0174534960462641,0.015391602354667,1378580306.63817,1171909392.56449,0.850084240229959
"Propension alta","2024-03","Ejecutivo=0, Correos=3",6766,2340,34.5846881466154,1.75346391515199,5764121.29825599,27.4801950931126,1.55742764314817,5546468.17222222,27.5371794871795,0.0175346391515199,0.0155742764314817,3625290170.66205,3080718750.9172,0.849785425687624
"Propension alta","2024-03","Ejecutivo=0, Correos=4",10993,3688,33.5486218502684,1.75348626380614,6182943.03638679,27.4997725825525,1.55830594553585,5641997.92245119,27.6008676789588,0.0175348626380614,0.0155830594553585,6133479941.77842,4953795401.89967,0.807664726863574
"Propension alta","2024-03","Ejecutivo=1, Correos=0",3202,1060,33.104309806371,1.75797105657069,8777402.74203623,27.4287945034354,1.54223851999406,8726166.81132076,27.5632075471698,0.0175797105657069,0.0154223851999406,2502732744.47589,2174947412.92245,0.869029031454939
"Propension alta","2024-03","Ejecutivo=1, Correos=1",3475,1122,32.2877697841727,1.74298660664437,7982516.55107914,27.4546762589928,1.52774092222678,8097405.28074866,27.3048128342246,0.0174298660664437,0.0152774092222678,2389591827.82469,2094551182.40325,0.876530944747152
"Propension alta","2024-03","Ejecutivo=1, Correos=2",21231,6831,32.1746502755405,1.75468228454823,7868284.09132872,27.4454335641279,1.54510637416937,7107153.46274338,27.4808959156785,0.0175468228454823,0.0154510637416937,14438106670.801,11402982382.8319,0.789783774481513
"Propension alta","2024-04","Ejecutivo=0, Correos=0",2844,923,32.4542897327707,1.74860035048576,5938587.35056259,27.3168073136428,1.5332580712985,5194940.26760563,27.3261105092091,0.0174860035048576,0.015332580712985,1459826010.11937,1110566858.16618,0.760752891418459
"Propension alta","2024-04","Ejecutivo=0, Correos=1",3247,1066,32.8303048968278,1.74539900580114,5929181.1934093,27.5645210963967,1.53787168308635,6621928.21388368,27.4287054409006,0.0174539900580114,0.0153787168308635,1695840891.57214,1646512013.97307,0.970911848013445
"Propension alta","2024-04","Ejecutivo=0, Correos=2",2704,926,34.2455621301775,1.74123973669804,5796709.97633136,27.4903846153846,1.55808644035665,6219254.20302376,27.4978401727862,0.0174123973669804,0.0155808644035665,1432529530.39904,1365602297.13432,0.953280381420074
"Propension alta","2024-04","Ejecutivo=0, Correos=3",6802,2218,32.6080564539841,1.74973590484502,5592627.02646281,27.443840047045,1.55578710569614,4771446.42335437,27.4729486023445,0.0174973590484502,0.0155578710569614,3321893372.51643,2503223010.79175,0.753553088579568
"Propension alta","2024-04","Ejecutivo=0, Correos=4",11106,3753,33.7925445705024,1.75340539573756,5897738.41031875,27.4764991896272,1.55359786903352,5061868.98800959,27.4436450839329,0.0175340539573756,0.0155359786903352,5948147556.3632,4481774230.26247,0.753473949291651
"Propension alta","2024-04","Ejecutivo=1, Correos=0",3113,1015,32.6052039832959,1.74711458820253,7785997.73787343,27.3684548666881,1.53518747876934,6557114.60295567,27.1073891625616,0.0174711458820253,0.0153518747876934,2106942844.03728,1530841917.04658,0.726570215883603
"Propension alta","2024-04","Ejecutivo=1, Correos=1",3579,1162,32.4671696004471,1.7526974249628,7906468.40765577,27.4300083822297,1.54997746742585,7198654.17383821,27.1437177280551,0.017526974249628,0.0154997746742585,2463515835.43107,1946378844.85889,0.790081726638589
"Propension alta","2024-04","Ejecutivo=1, Correos=2",21160,6843,32.3393194706994,1.74650317877129,7944011.37462193,27.5270321361059,1.5267902280263,7079602.83866725,27.6289639047202,0.0174650317877129,0.015267902280263,14574708250.4745,11297870996.631,0.775169615917575
